timestamp,open,high,low,close,volume
2024-12-11 18:30:00,6168.75,6169.75,6168.25,6168.5,52
2024-12-11 18:33:00,6169.0,6169.25,6167.25,6168.25,60
2024-12-11 18:36:00,6168.75,6168.75,6168.0,6168.25,19
2024-12-11 18:39:00,6168.0,6168.5,6167.75,6167.75,44
2024-12-11 18:42:00,6167.5,6167.5,6166.0,6167.0,28
2024-12-11 18:45:00,6167.0,6167.5,6166.5,6167.25,14
2024-12-11 18:48:00,6167.25,6167.75,6167.25,6167.5,17
2024-12-11 18:51:00,6167.0,6167.0,6165.75,6166.0,33
2024-12-11 18:54:00,6165.75,6165.75,6163.5,6163.5,72
2024-12-11 18:57:00,6163.0,6164.25,6162.75,6163.0,62
2024-12-11 19:00:00,6163.5,6164.5,6162.75,6164.5,39
2024-12-11 19:03:00,6164.5,6165.0,6163.5,6163.5,44
2024-12-11 19:06:00,6162.75,6163.0,6160.75,6162.25,63
2024-12-11 19:09:00,6162.5,6163.0,6162.0,6162.75,42
2024-12-11 19:12:00,6162.75,6164.75,6162.75,6163.5,28
2024-12-11 19:15:00,6163.5,6163.75,6163.0,6163.5,26
2024-12-11 19:18:00,6163.75,6163.75,6163.5,6163.75,13
2024-12-11 19:21:00,6163.75,6163.75,6162.5,6163.5,26
2024-12-11 19:24:00,6163.5,6164.5,6163.5,6163.5,35
2024-12-11 19:27:00,6164.0,6164.5,6163.5,6164.5,34
2024-12-11 19:30:00,6164.5,6164.5,6163.75,6164.5,29
2024-12-11 19:33:00,6164.75,6165.5,6164.5,6165.0,12
2024-12-11 19:36:00,6165.0,6166.25,6165.0,6166.25,38
2024-12-11 19:39:00,6166.25,6167.0,6165.75,6167.0,20
2024-12-11 19:42:00,6166.75,6167.25,6165.5,6165.75,128
2024-12-11 19:45:00,6165.75,6165.75,6164.5,6165.0,39
2024-12-11 19:48:00,6165.25,6165.25,6162.75,6162.75,73
2024-12-11 19:51:00,6163.0,6164.0,6162.0,6163.25,76
2024-12-11 19:54:00,6163.5,6163.5,6162.5,6162.75,108
2024-12-11 19:57:00,6163.25,6164.25,6162.75,6164.25,35
2024-12-11 20:00:00,6164.5,6164.75,6164.0,6164.75,57
2024-12-11 20:03:00,6164.75,6165.75,6164.75,6165.25,38
2024-12-11 20:06:00,6165.25,6165.25,6164.0,6164.0,34
2024-12-11 20:09:00,6163.75,6164.5,6163.75,6164.5,35
2024-12-11 20:12:00,6164.25,6164.75,6163.75,6164.5,61
2024-12-11 20:15:00,6164.75,6165.25,6164.75,6164.75,42
2024-12-11 20:18:00,6164.75,6165.25,6164.25,6164.5,48
2024-12-11 20:21:00,6164.25,6164.25,6163.75,6163.75,42
2024-12-11 20:24:00,6164.0,6164.25,6163.5,6163.75,37
2024-12-11 20:27:00,6164.25,6165.25,6164.25,6165.25,47
2024-12-11 20:30:00,6165.25,6165.5,6163.75,6164.0,85
2024-12-11 20:33:00,6164.0,6164.5,6163.25,6163.5,125
2024-12-11 20:36:00,6163.5,6164.5,6163.0,6164.5,58
2024-12-11 20:39:00,6163.75,6165.0,6163.75,6164.5,54
2024-12-11 20:42:00,6164.5,6164.75,6163.25,6163.5,49
2024-12-11 20:45:00,6163.0,6163.0,6162.0,6162.5,75
2024-12-11 20:48:00,6162.5,6163.25,6162.25,6162.75,70
2024-12-11 20:51:00,6163.0,6163.25,6161.0,6162.5,204
2024-12-11 20:54:00,6162.25,6162.75,6159.75,6160.25,376
2024-12-11 20:57:00,6160.5,6160.5,6159.5,6159.75,158
2024-12-11 21:00:00,6159.75,6160.75,6156.25,6156.5,1800
2024-12-11 21:03:00,6156.75,6158.25,6154.0,6155.5,299
2024-12-11 21:06:00,6155.75,6156.5,6154.0,6154.75,162
2024-12-11 21:09:00,6154.5,6155.0,6154.25,6155.0,40
2024-12-11 21:12:00,6155.5,6155.75,6155.0,6155.0,5
2024-12-11 21:15:00,6155.0,6155.0,6155.0,6155.0,2
2024-12-11 21:18:00,6154.75,6155.0,6154.75,6155.0,5
2024-12-11 21:21:00,6154.5,6154.75,6154.5,6154.5,3
2024-12-11 21:24:00,6154.75,6154.75,6153.5,6153.75,13
2024-12-11 21:27:00,6153.75,6154.5,6153.75,6154.5,2
2024-12-11 21:30:00,6154.5,6154.5,6154.5,6154.5,1
2024-12-11 21:33:00,6154.75,6154.75,6154.5,6154.5,11
